round_num,scenario,live_nodes,skipped_nodes,eval_loss,eval_acc,ring_latency_s,enc_time_s,comm_bytes,completed,round_completion_rate
1,A (0% failure),5,[],2.3085,0.1,0.009,0.104,3343132,True,1.0
2,A (0% failure),5,[],1.7205,0.3773,0.006,0.062,3342433,True,1.0
3,A (0% failure),5,[],1.3826,0.4928,0.006,0.062,3343198,True,1.0
4,A (0% failure),5,[],1.2226,0.5556,0.006,0.062,3343297,True,1.0
5,A (0% failure),5,[],1.0643,0.6239,0.007,0.061,3342745,True,1.0
6,A (0% failure),5,[],0.9728,0.6612,0.007,0.061,3343196,True,1.0
7,A (0% failure),5,[],0.9381,0.6648,0.007,0.061,3342055,True,1.0
8,A (0% failure),5,[],0.8939,0.6843,0.008,0.107,3342973,True,1.0
9,A (0% failure),5,[],0.8574,0.7002,0.008,0.108,3343090,True,1.0
10,A (0% failure),5,[],0.828,0.7152,0.008,0.061,3342625,True,1.0
11,A (0% failure),5,[],0.8154,0.7198,0.007,0.062,3343329,True,1.0
12,A (0% failure),5,[],0.7653,0.7342,0.007,0.063,3342323,True,1.0
13,A (0% failure),5,[],0.7574,0.7347,0.006,0.061,3343816,True,1.0
14,A (0% failure),5,[],0.7375,0.7391,0.007,0.062,3343605,True,1.0
15,A (0% failure),5,[],0.7342,0.7441,0.008,0.106,3343501,True,1.0
16,A (0% failure),5,[],0.7124,0.7536,0.007,0.106,3342739,True,1.0
17,A (0% failure),5,[],0.7027,0.7549,0.006,0.062,3343035,True,1.0
18,A (0% failure),5,[],0.698,0.76,0.007,0.063,3342942,True,1.0
19,A (0% failure),5,[],0.6896,0.7611,0.007,0.072,3343115,True,1.0
20,A (0% failure),5,[],0.6785,0.7647,0.008,0.07,3343294,True,1.0
