round_num,node_order,alpha,condition,train_loss,train_acc,eval_loss,eval_acc,comm_bytes,wall_time_s,ring_latency_s,enc_time_s
1,"[0, 1, 2, 3, 4]",0.1,fixed_order,0.688,0.7591,2.3033,0.1147,24706784,73.244,0.059,0.109
2,"[0, 1, 2, 3, 4]",0.1,fixed_order,0.745,0.7467,2.0169,0.2324,24706857,63.295,0.059,0.062
3,"[0, 1, 2, 3, 4]",0.1,fixed_order,0.5961,0.7948,1.7185,0.3761,24707872,63.154,0.058,0.064
4,"[0, 1, 2, 3, 4]",0.1,fixed_order,0.5337,0.8145,1.523,0.4431,24706513,62.479,0.063,0.104
5,"[0, 1, 2, 3, 4]",0.1,fixed_order,0.49,0.8299,1.3941,0.4885,24708151,61.806,0.058,0.062
6,"[0, 1, 2, 3, 4]",0.1,fixed_order,0.4558,0.8411,1.2144,0.5603,24707425,61.821,0.06,0.061
7,"[0, 1, 2, 3, 4]",0.1,fixed_order,0.4345,0.848,1.1709,0.5672,24707119,64.464,0.062,0.104
8,"[0, 1, 2, 3, 4]",0.1,fixed_order,0.4129,0.8558,1.082,0.6138,24707566,62.429,0.058,0.066
9,"[0, 1, 2, 3, 4]",0.1,fixed_order,0.3969,0.8617,1.0431,0.6273,24707430,61.306,0.06,0.071
10,"[0, 1, 2, 3, 4]",0.1,fixed_order,0.3805,0.8672,1.018,0.6375,24708225,61.527,0.06,0.063
11,"[0, 1, 2, 3, 4]",0.1,fixed_order,0.3647,0.8726,0.9772,0.6577,24706027,61.989,0.059,0.107
12,"[0, 1, 2, 3, 4]",0.1,fixed_order,0.3582,0.8751,0.9306,0.6753,24707050,61.139,0.06,0.063
13,"[0, 1, 2, 3, 4]",0.1,fixed_order,0.3445,0.8796,0.9162,0.68,24707955,60.999,0.058,0.065
14,"[0, 1, 2, 3, 4]",0.1,fixed_order,0.3379,0.8824,0.906,0.6804,24707959,61.343,0.058,0.061
15,"[0, 1, 2, 3, 4]",0.1,fixed_order,0.327,0.8867,0.8879,0.6925,24707198,62.532,0.06,0.107
16,"[0, 1, 2, 3, 4]",0.1,fixed_order,0.316,0.8886,0.8495,0.7046,24707866,61.831,0.058,0.062
17,"[0, 1, 2, 3, 4]",0.1,fixed_order,0.3107,0.8912,0.8546,0.7039,24707708,62.29,0.059,0.063
18,"[0, 1, 2, 3, 4]",0.1,fixed_order,0.3062,0.8937,0.8395,0.7119,24707150,62.427,0.058,0.062
19,"[0, 1, 2, 3, 4]",0.1,fixed_order,0.2939,0.8977,0.8345,0.7151,24707984,61.572,0.065,0.111
20,"[0, 1, 2, 3, 4]",0.1,fixed_order,0.2906,0.899,0.8192,0.7152,24708007,62.693,0.058,0.07
