round,arch,latency_ms,eval_acc,eval_loss,train_acc,enc_overhead_ms,latency_overhead_ms,wall_time_s
1,ResNet18,50,12.51,2.5087,0.5218,27.16,50.27,85.42
2,ResNet18,50,32.68,1.8103,0.5929,28.43,50.11,91.13
3,ResNet18,50,49.65,1.4045,0.6536,30.72,50.1,93.39
4,ResNet18,50,55.32,1.1968,0.7008,29.35,50.14,109.77
5,ResNet18,50,61.89,1.0486,0.7485,25.44,50.13,106.36
6,ResNet18,50,62.87,1.0051,0.7688,29.34,50.1,106.17
7,ResNet18,50,68.42,0.8916,0.7948,27.94,50.1,98.46
8,ResNet18,50,70.52,0.8486,0.8211,31.39,50.11,98.82
9,ResNet18,50,73.61,0.7669,0.8177,23.76,50.14,105.95
10,ResNet18,50,74.83,0.7399,0.8294,30.87,50.13,97.56
11,ResNet18,50,75.8,0.7091,0.841,26.94,50.26,101.04
12,ResNet18,50,75.2,0.7343,0.8459,31.96,50.11,99.67
13,ResNet18,50,78.03,0.6625,0.8547,34.85,50.12,100.6
14,ResNet18,50,78.54,0.6703,0.8578,28.84,50.11,92.48
15,ResNet18,50,80.04,0.6532,0.8804,28.16,50.11,96.34
16,ResNet18,50,80.94,0.6154,0.8743,33.35,50.11,98.98
17,ResNet18,50,78.54,0.6633,0.8842,27.31,50.11,85.78
18,ResNet18,50,80.66,0.6134,0.8728,24.85,50.12,88.39
19,ResNet18,50,80.97,0.6104,0.8905,28.76,50.12,88.19
20,ResNet18,50,78.95,0.6403,0.8937,25.73,50.13,85.36
